Instance,PopulationSize,CrossoverRate,MutationRate,AvgFitness,AvgTruckCost,AvgEnergyCost,AvgTime
4,30,0.4,0.01,243.5,351.0,136.0,3.940078568458557
5,30,0.4,0.01,474.5,750.0,199.0,4.62731409072876
6,60,0.6,0.08,523.9,1575.8,196.3,13.299996471405027
7,50,0.4,0.05,741.45,1263.0,228.2,11.19614646434784
8,40,0.8,0.01,1041.95,1821.0,277.0,8.806898927688598
9,30,0.4,0.01,600.5,891.0,310.0,7.845315408706665
10,30,0.4,0.01,962.5,1588.0,342.8,8.425100755691528
11,60,0.8,0.1,797.35,1276.0,338.9,21.029691767692565
12,30,0.4,0.01,1223.5,2035.0,412.0,9.636940455436706
20,50,0.9,0.1,2761.3,5110.0,804.3,32.803676557540896
30,60,0.8,0.1,3162.85,5081.0,1306.0,55.63878581523896
