Instance,file name,Objective,F1,F2,Status,UsedTrucks,ExecutionTime(s)
9,inst_9_2_7.txt,987.0,1650.0,324.0,TimeLimit,4.0,48.593
9,inst_9_2_7.txt,987.0,1650.0,324.0,Optimal,4.0,48.593
30,inst_30_7_20.txt,3108.5,5081.0,1136.0,TimeLimit,13.0,300.059
30,inst_30_7_20.txt,,,,9,,300.059
8,inst_8_1_5.txt,1027.5,1821.0,234.0,TimeLimit,3.0,0.733
8,inst_8_1_5.txt,1027.5,1821.0,234.0,Optimal,3.0,0.733
5,inst_5_2_4.txt,1009.0,1835.0,183.0,TimeLimit,3.0,0.036
5,inst_5_2_4.txt,1009.0,1835.0,183.0,Optimal,3.0,0.036
12,inst_12_3_7.txt,2063.5,3699.0,428.0,TimeLimit,6.0,300.02
12,inst_12_3_7.txt,,,,9,,300.02
10,inst_10_1_7.txt,943.5,1588.0,299.0,TimeLimit,4.0,4.001
10,inst_10_1_7.txt,943.5,1588.0,299.0,Optimal,4.0,4.001
9,inst_9_3_7.txt,1336.5,2331.0,342.0,TimeLimit,4.0,45.439
9,inst_9_3_7.txt,1336.5,2331.0,342.0,Optimal,4.0,45.439
11,inst_11_2_7.txt,1121.5,1876.0,367.0,TimeLimit,4.0,91.172
11,inst_11_2_7.txt,1121.5,1876.0,367.0,Optimal,4.0,91.172
11,inst_11_3_7.txt,1219.5,2042.0,397.0,TimeLimit,5.0,300.029
11,inst_11_3_7.txt,,,,9,,300.029
4,inst_4_3_4.txt,825.0,1542.0,108.0,TimeLimit,3.0,0.123
4,inst_4_3_4.txt,825.0,1542.0,108.0,Optimal,3.0,0.123
11,inst_11_1_7.txt,793.0,1276.0,310.0,TimeLimit,4.0,4.649
11,inst_11_1_7.txt,793.0,1276.0,310.0,Optimal,4.0,4.649
4,inst_4_2_4.txt,616.0,1096.0,136.0,TimeLimit,2.0,0.03
4,inst_4_2_4.txt,616.0,1096.0,136.0,Optimal,2.0,0.03
5,inst_5_1_4.txt,474.5,750.0,199.0,TimeLimit,2.0,0.201
5,inst_5_1_4.txt,474.5,750.0,199.0,Optimal,2.0,0.201
4,inst_4_1_4.txt,243.5,351.0,136.0,TimeLimit,1.0,0.037
4,inst_4_1_4.txt,243.5,351.0,136.0,Optimal,1.0,0.037
12,inst_12_1_7.txt,1206.0,2035.0,377.0,TimeLimit,5.0,17.595
12,inst_12_1_7.txt,1206.0,2035.0,377.0,Optimal,5.0,17.595
6,inst_6_3_5.txt,800.0,1440.0,160.0,TimeLimit,3.0,0.806
6,inst_6_3_5.txt,800.0,1440.0,160.0,Optimal,3.0,0.806
7,inst_7_1_5.txt,740.5,1263.0,218.0,TimeLimit,3.0,0.347
7,inst_7_1_5.txt,740.5,1263.0,218.0,Optimal,3.0,0.347
7,inst_7_2_5.txt,1022.0,1792.0,252.0,TimeLimit,3.0,0.317
7,inst_7_2_5.txt,1022.0,1792.0,252.0,Optimal,3.0,0.317
6,inst_6_2_5.txt,608.0,1033.0,183.0,TimeLimit,2.0,0.036
6,inst_6_2_5.txt,608.0,1033.0,183.0,Optimal,2.0,0.036
9,inst_9_1_7.txt,600.5,891.0,310.0,TimeLimit,3.0,2.409
9,inst_9_1_7.txt,600.5,891.0,310.0,Optimal,3.0,2.409
20,inst_20_7_15.txt,2865.0,5001.0,729.0,TimeLimit,10.0,300.02
20,inst_20_7_15.txt,,,,9,,300.02
5,inst_5_3_4.txt,1064.0,1923.0,205.0,TimeLimit,4.0,0.058
5,inst_5_3_4.txt,1064.0,1923.0,205.0,Optimal,4.0,0.058
7,inst_7_3_5.txt,1045.0,1797.0,293.0,TimeLimit,3.0,0.052
7,inst_7_3_5.txt,1045.0,1797.0,293.0,Optimal,3.0,0.052
6,inst_6_1_5.txt,659.0,1166.0,152.0,TimeLimit,2.0,0.553
6,inst_6_1_5.txt,659.0,1166.0,152.0,Optimal,2.0,0.553
20,inst_20_10_15.txt,4027.0,7338.0,716.0,TimeLimit,12.0,300.016
20,inst_20_10_15.txt,,,,9,,300.016
8,inst_8_3_5.txt,1400.5,2520.0,281.0,TimeLimit,4.0,4.206
8,inst_8_3_5.txt,1400.5,2520.0,281.0,Optimal,4.0,4.206
10,inst_10_3_7.txt,1741.5,3102.0,381.0,TimeLimit,5.0,233.301
10,inst_10_3_7.txt,1741.5,3102.0,381.0,Optimal,5.0,233.301
12,inst_12_2_7.txt,1529.5,2688.0,371.0,TimeLimit,5.0,6.134
12,inst_12_2_7.txt,1529.5,2688.0,371.0,Optimal,5.0,6.134
30,inst_30_10_20.txt,,,,TimeLimit,,0.135
30,inst_30_10_20.txt,,,,Infeasible,,0.135
10,inst_10_2_7.txt,1230.0,2098.0,362.0,TimeLimit,4.0,7.096
10,inst_10_2_7.txt,1230.0,2098.0,362.0,Optimal,4.0,7.096
30,inst_30_15_20.txt,5316.5,9529.0,1104.0,TimeLimit,17.0,300.034
30,inst_30_15_20.txt,,,,9,,300.034
8,inst_8_2_5.txt,1376.5,2510.0,243.0,TimeLimit,4.0,6.35
8,inst_8_2_5.txt,1376.5,2510.0,243.0,Optimal,4.0,6.35
