Instance,Objective,Status,UsedTrucks,ExecutionTime(s)
1,1441.0,Optimal,4.0,0.04
2,2892.0,Optimal,7.0,0.056
3,718.5,Optimal,4.0,0.066
4,1566.5,Optimal,5.0,2.547
5,3654.5,Optimal,9.0,964.621
6,2352.5,Optimal,7.0,291.746
7,2601.5,Optimal,7.0,0.28
8,1879.5,Optimal,7.0,46.503
9,,3,,0.007
10,,3,,0.006
11,1300.5,Optimal,4.0,0.203
12,,3,,0.013
13,,3,,0.006
14,1370.0,Optimal,6.0,29.734
15,1346.5,Optimal,4.0,0.023
16,591.5,Optimal,4.0,0.06
17,747.0,Optimal,2.0,0.032
18,2537.5,Optimal,10.0,9.409
19,,3,,0.013
20,3318.5,Optimal,10.0,38.458
21,1698.0,Optimal,5.0,0.104
22,833.0,Optimal,4.0,0.031
23,1077.0,Optimal,5.0,0.163
24,,3,,0.005
25,,3,,0.008
26,,3,,0.014
27,1364.0,Optimal,4.0,20.199
28,1065.5,Optimal,3.0,0.101
29,,3,,0.012
30,1318.0,Optimal,8.0,0.071
