Instance,BestFitness,ExecutionTime(s),PopulationSize,Generations,best_chromosome
1,326.0,0.935,50,20,"[[], 0, 1, 0, [4], 0, 4, 0, [], 0, 3, 0, [], 0, 1, 0, [], 0, 3, 0, [], 0, 1, 0, [], 0, 4, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 2, 0]"
2,723.5,1.542,50,20,"[[], 0, 3, 0, [2], 0, 1, 0, [], 0, 4, 0, [], 0, 3, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 1, 0, [8], 0, 2, 0, [], 0, 4, 0]"
3,134.0,0.747,50,20,"[[], 0, 7, 0, [], 0, 1, 0, [], 0, 6, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 5, 0, [], 0, 7, 0, [], 0, 5, 0, [2], 0, 5, 0, [], 0, 3, 0]"
4,426.5,0.99,50,20,"[[], 0, 3, 0, [1], 0, 3, 0, [7, 9], 0, 1, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 1, 0, [], 0, 1, 0]"
5,1580.5,3.139,50,20,"[[], 0, 1, 0, [4, 10], 0, 3, 0, [], 0, 1, 0, [11], 0, 4, 0, [], 0, 3, 0, [11], 0, 4, 0, [], 0, 1, 0, [], 0, 4, 0, [], 0, 4, 0, [11, 2], 0, 3, 0, [11, 2], 0, 2, 0, [], 0, 4, 0]"
6,478.5,1.832,50,20,"[[], 0, 1, 0, [10], 0, 5, 0, [], 0, 4, 0, [], 0, 5, 0, [11], 0, 4, 0, [], 0, 5, 0, [], 0, 2, 0, [], 0, 5, 0, [], 0, 4, 0, [], 0, 3, 0, [10], 0, 4, 0]"
7,44.0,1.604,50,20,"[[], 0, 2, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 2, 0, [], 0, 2, 0, [], 0, 3, 0, [], 0, 2, 0, [], 0, 3, 0, [3], 0, 2, 0]"
8,249.0,1.837,50,20,"[[], 0, 2, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 4, 0, [10], 0, 4, 0, [], 0, 2, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 5, 0, [], 0, 5, 0, [], 0, 5, 0, [9], 0, 5, 0]"
9,378.0,1.831,50,20,"[[], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [1], 0, 4, 0, [5], 0, 4, 0, [], 0, 2, 0, [], 0, 2, 0, [], 0, 3, 0, [1], 0, 4, 0, [1], 0, 3, 0]"
10,1190.5,1.765,50,20,"[[1], 0, 4, 0, [10], 0, 7, 0, [7], 0, 7, 0, [], 0, 3, 0, [1], 0, 5, 0, [9], 0, 5, 0]"
11,410.0,0.816,50,20,"[[], 0, 3, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 7, 0, [], 0, 1, 0, [2, 7, 5], 0, 4, 0, [], 0, 4, 0]"
12,1339.5,1.843,50,20,"[[8], 0, 3, 0, [7], 0, 3, 0, [6], 0, 2, 0, [8], 0, 3, 0, [], 0, 2, 0, [9], 0, 3, 0, [5], 0, 3, 0]"
13,357.5,0.623,50,20,"[[], 0, 1, 0, [], 0, 4, 0, [], 0, 5, 0, [1, 4], 0, 3, 0, [], 0, 4, 0, [], 0, 2, 0, [], 0, 4, 0, [], 0, 5, 0]"
14,559.5,1.628,50,20,"[[], 0, 1, 0, [], 0, 2, 0, [2], 0, 7, 0, [], 0, 7, 0, [], 0, 7, 0, [3, 5], 0, 1, 0, [], 0, 5, 0, [2], 0, 7, 0]"
15,329.0,0.869,50,20,"[[], 0, 1, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 3, 0, [2], 0, 1, 0]"
16,122.5,0.568,50,20,"[[], 0, 5, 0, [], 0, 4, 0, [], 0, 2, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 5, 0, [5], 0, 3, 0, [], 0, 4, 0, [], 0, 1, 0, [], 0, 1, 0]"
17,374.0,0.34,50,20,"[[], 0, 2, 0, [], 0, 4, 0, [3], 0, 3, 0, [], 0, 4, 0, [], 0, 5, 0, [], 0, 2, 0]"
18,162.5,1.959,50,20,"[[], 0, 5, 0, [], 0, 4, 0, [], 0, 4, 0, [], 0, 1, 0, [], 0, 3, 0, [], 0, 2, 0, [], 0, 5, 0, [], 0, 1, 0, [6], 0, 5, 0, [], 0, 5, 0, [], 0, 1, 0, [], 0, 4, 0, [8], 0, 4, 0]"
19,199.5,1.389,50,20,"[[], 0, 5, 0, [], 0, 4, 0, [], 0, 3, 0, [], 0, 6, 0, [], 0, 1, 0, [], 0, 5, 0, [], 0, 6, 0, [], 0, 5, 0, [], 0, 5, 0, [6, 7], 0, 5, 0, [6, 7], 0, 1, 0]"
20,1612.5,3.404,50,20,"[[9], 0, 6, 0, [13], 0, 6, 0, [], 0, 4, 0, [2], 0, 6, 0, [], 0, 4, 0, [8, 9], 0, 6, 0, [], 0, 6, 0, [9, 10], 0, 7, 0, [], 0, 2, 0, [1], 0, 6, 0]"
21,307.0,0.673,50,20,"[[], 0, 1, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 3, 0, [1], 0, 2, 0, [], 0, 4, 0, [], 0, 1, 0, [], 0, 3, 0]"
22,144.0,0.634,50,20,"[[], 0, 5, 0, [], 0, 4, 0, [], 0, 5, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 3, 0, [], 0, 4, 0, [], 0, 5, 0, [2], 0, 2, 0]"
23,0.0,0.666,50,20,"[[], 0, 3, 0, [], 0, 4, 0, [], 0, 3, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 2, 0, [], 0, 2, 0, [], 0, 4, 0]"
24,213.5,0.38,50,20,"[[1, 3], 0, 7, 0, [], 0, 7, 0, [], 0, 1, 0, [], 0, 6, 0, [], 0, 5, 0, [], 0, 5, 0, [], 0, 2, 0, [], 0, 4, 0]"
25,951.0,3.672,50,20,"[[], 0, 5, 0, [8, 7], 0, 4, 0, [], 0, 3, 0, [8], 0, 6, 0, [], 0, 6, 0, [8, 7], 0, 6, 0, [8, 7], 0, 2, 0, [8, 7], 0, 5, 0, [8, 7], 0, 6, 0, [7], 0, 4, 0]"
26,1758.5,1.877,50,20,"[[1], 0, 3, 0, [2, 3], 0, 3, 0, [7], 0, 3, 0, [1], 0, 3, 0, [3], 0, 2, 0, [6], 0, 3, 0]"
27,135.0,0.739,50,20,"[[], 0, 1, 0, [], 0, 7, 0, [], 0, 2, 0, [7], 0, 7, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 3, 0]"
28,721.0,0.407,50,20,"[[5, 4], 0, 2, 0, [], 0, 1, 0, [5, 1], 0, 1, 0, [], 0, 1, 0, [], 0, 3, 0, [], 0, 3, 0]"
29,1207.0,2.15,50,20,"[[6, 8], 0, 7, 0, [], 0, 3, 0, [], 0, 1, 0, [5], 0, 7, 0, [], 0, 6, 0, [3], 0, 7, 0, [12], 0, 7, 0, [12], 0, 6, 0]"
30,167.0,2.099,50,20,"[[], 0, 3, 0, [], 0, 2, 0, [], 0, 1, 0, [], 0, 2, 0, [10, 4], 0, 2, 0, [], 0, 3, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 1, 0]"
