Instance,BestFitness,ExecutionTime(s),PopulationSize,Generations
1,1442.0,4.116,50,20
2,2451.5,5.038,50,20
3,719.5,4.387,50,20
4,1566.5,4.579,50,20
5,3631.0,6.12,50,20
6,2429.5,4.974,50,20
7,2343.5,6.292,50,20
8,1639.5,6.225,50,20
9,1507.0,2.651,50,20
10,1131.0,2.735,50,20
11,992.0,3.141,50,20
12,1599.0,3.452,50,20
13,1002.0,3.45,50,20
14,1603.5,5.811,50,20
15,1307.5,2.098,50,20
16,594.0,4.177,50,20
17,1087.0,2.028,50,20
18,2600.5,6.089,50,20
19,1527.0,5.371,50,20
20,3065.5,6.004,50,20
21,1276.5,3.526,50,20
22,834.0,3.087,50,20
23,1077.5,4.286,50,20
24,257.0,2.999,50,20
25,1550.0,3.633,50,20
26,1534.0,3.718,50,20
27,1369.0,4.288,50,20
28,1066.5,2.981,50,20
29,2287.0,5.59,50,20
30,1328.5,5.565,50,20
